Local time,Open,High,Low,Close,Volume
07.09.2018 06:00:00.000 GMT-0400,181.818,181.818,181.818,181.818,0
07.09.2018 07:00:00.000 GMT-0400,181.818,181.818,181.818,181.818,0
07.09.2018 08:00:00.000 GMT-0400,181.818,181.818,181.818,181.818,0
07.09.2018 09:00:00.000 GMT-0400,180.498,182.358,180.418,182.148,25.1533
07.09.2018 10:00:00.000 GMT-0400,182.147,182.508,181.928,182.458,34.4758
07.09.2018 11:00:00.000 GMT-0400,182.457,182.648,182.027,182.047,28.7437
07.09.2018 12:00:00.000 GMT-0400,182.048,182.118,181.057,181.908,42.9944
07.09.2018 13:00:00.000 GMT-0400,181.908,181.918,181.237,181.308,29.1357
07.09.2018 14:00:00.000 GMT-0400,181.307,181.848,181.297,181.818,23.4089
07.09.2018 15:00:00.000 GMT-0400,181.818,181.868,180.957,181.258,33.5343
07.09.2018 16:00:00.000 GMT-0400,181.258,181.258,181.258,181.258,0
07.09.2018 17:00:00.000 GMT-0400,181.258,181.258,181.258,181.258,0
07.09.2018 18:00:00.000 GMT-0400,181.258,181.258,181.258,181.258,0
07.09.2018 19:00:00.000 GMT-0400,181.258,181.258,181.258,181.258,0
07.09.2018 20:00:00.000 GMT-0400,181.258,181.258,181.258,181.258,0
07.09.2018 21:00:00.000 GMT-0400,181.258,181.258,181.258,181.258,0
07.09.2018 22:00:00.000 GMT-0400,181.258,181.258,181.258,181.258,0
07.09.2018 23:00:00.000 GMT-0400,181.258,181.258,181.258,181.258,0
08.09.2018 00:00:00.000 GMT-0400,181.258,181.258,181.258,181.258,0
08.09.2018 01:00:00.000 GMT-0400,181.258,181.258,181.258,181.258,0
08.09.2018 02:00:00.000 GMT-0400,181.258,181.258,181.258,181.258,0
08.09.2018 03:00:00.000 GMT-0400,181.258,181.258,181.258,181.258,0
08.09.2018 04:00:00.000 GMT-0400,181.258,181.258,181.258,181.258,0
08.09.2018 05:00:00.000 GMT-0400,181.258,181.258,181.258,181.258,0
08.09.2018 06:00:00.000 GMT-0400,181.258,181.258,181.258,181.258,0
08.09.2018 07:00:00.000 GMT-0400,181.258,181.258,181.258,181.258,0
